"","x"
"1033",235953
"1034",235954
"1035",235955
"1036",235956
"1037",235957
"1038",235958
"1039",235959
"1040",235960
"1041",235977
"1042",235978
"1043",235979
"1044",235980
"1045",235981
"1046",235982
"1047",235983
"1048",235984
"1049",235985
"1050",235986
"1051",235987
"1052",235988
"1053",235989
"1054",235990
"1055",235991
"1056",235992
"1057",235993
"1058",235994
"1059",235995
"1060",236071
"1061",236072
"1062",236073
"1063",236074
"1064",236075
"1065",236076
"1066",236077
"1067",236078
"1068",236079
"1069",236080
"1070",236081
"1071",236082
"1072",236083
"1073",236084
"1074",236085
"1075",236086
"1076",236087
"1077",236088
"1078",236105
"1079",236106
"1080",236107
"1081",236108
"1082",236109
"1083",236110
"1084",236111
"1085",236112
"1086",236113
"1087",236114
"1088",236115
"1089",236116
"1090",236117
"1091",236118
"1092",236119
"1093",236120
"1094",236121
"1095",236122
"1096",236197
"1097",236198
"1098",236199
"1099",236200
"1100",236201
"1101",236202
"1102",236203
"1103",236204
"1104",236205
"1105",236206
"1106",236207
"1107",236208
"1108",236209
"1109",236210
"1110",236211
"1111",236212
"1112",236213
"1113",236214
"1114",236215
"1115",236216
"1116",236233
"1117",236234
"1118",236235
"1119",236236
"1120",236237
"1121",236238
"1122",236239
"1123",236240
"1124",236241
"1125",236242
"1126",236243
"1127",236244
"1128",236245
"1129",236246
"1130",236247
"1131",236248
"1132",236249
"1133",236250
"1134",236324
"1135",236325
"1136",236326
"1137",236327
"1138",236328
"1139",236329
"1140",236330
"1141",236331
"1142",236332
"1143",236333
"1144",236334
"1145",236335
"1146",236336
"1147",236337
"1148",236338
"1149",236339
"1150",236340
"1151",236341
"1152",236342
"1153",236343
"1154",236344
"1155",236361
"1156",236362
"1157",236363
"1158",236364
"1159",236365
"1160",236366
"1161",236367
"1162",236368
"1163",236369
"1164",236370
"1165",236371
"1166",236372
"1167",236373
"1168",236374
"1169",236375
"1170",236376
"1171",236377
"1172",236378
"1173",236452
"1174",236453
"1175",236454
"1176",236455
"1177",236456
"1178",236457
"1179",236458
"1180",236459
"1181",236460
"1182",236461
"1183",236462
"1184",236463
"1185",236464
"1186",236465
"1187",236466
"1188",236467
"1189",236468
"1190",236469
"1191",236470
"1192",236471
"1193",236472
"1194",236489
"1195",236490
"1196",236491
"1197",236492
"1198",236493
"1199",236494
"1200",236495
"1201",236496
"1202",236497
"1203",236498
"1204",236499
"1205",236500
"1206",236501
"1207",236502
"1208",236503
"1209",236504
"1210",236505
"1211",236506
"1212",236507
"1213",236580
"1214",236581
"1215",236582
"1216",236583
"1217",236584
"1218",236585
"1219",236586
"1220",236587
"1221",236588
"1222",236589
"1223",236590
"1224",236591
"1225",236592
"1226",236593
"1227",236594
"1228",236595
"1229",236596
"1230",236597
"1231",236598
"1232",236599
"1233",236600
"1234",236617
"1235",236618
"1236",236619
"1237",236620
"1238",236621
"1239",236622
"1240",236623
"1241",236624
"1242",236625
"1243",236626
"1244",236627
"1245",236628
"1246",236629
"1247",236630
"1248",236631
"1249",236632
"1250",236633
"1251",236634
"1252",236635
"1253",236709
"1254",236710
"1255",236711
"1256",236712
"1257",236713
"1258",236714
"1259",236715
"1260",236716
"1261",236717
"1262",236718
"1263",236719
"1264",236720
"1265",236721
"1266",236722
"1267",236723
"1268",236724
"1269",236725
"1270",236726
"1271",236746
"1272",236747
"1273",236748
"1274",236749
"1275",236750
"1276",236751
"1277",236752
"1278",236753
"1279",236754
"1280",236755
"1281",236756
"1282",236757
"1283",236758
"1284",236759
"1285",236760
"1286",236761
"1287",236762
"1288",236763
"1289",236840
"1290",236841
"1291",236842
"1292",236843
"1293",236844
"1294",236845
"1295",236846
"1296",236847
"1297",236848
"1298",236849
"1299",236850
"1300",236851
"1301",236852
"1302",236853
"1303",236875
"1304",236876
"1305",236877
"1306",236878
"1307",236879
"1308",236880
"1309",236881
"1310",236882
"1311",236883
"1312",236884
"1313",236885
"1314",236886
"1315",236887
"1316",236888
"1317",236889
"1318",236890
"1319",236891
"1320",236892
"1321",236971
"1322",236972
"1323",236973
"1324",236974
"1325",236975
"1326",236976
"1327",236977
"1328",236978
"1329",236979
"1330",236980
"1331",237004
"1332",237005
"1333",237006
"1334",237007
"1335",237008
"1336",237009
"1337",237010
"1338",237011
"1339",237012
"1340",237013
"1341",237014
"1342",237015
"1343",237016
"1344",237017
"1345",237018
"1346",237019
"1347",237020
"1348",237102
"1349",237103
"1350",237104
"1351",237105
"1352",237133
"1353",237134
"1354",237135
"1355",237136
"1356",237137
"1357",237138
"1358",237139
"1359",237140
"1360",237141
"1361",237142
"1362",237143
"1363",237144
"1364",237145
"1365",237146
"1366",237147
"1367",237148
"1368",237149
"1369",237232
"1370",237262
"1371",237263
"1372",237264
"1373",237265
"1374",237266
"1375",237267
"1376",237268
"1377",237269
"1378",237270
"1379",237271
"1380",237272
"1381",237273
"1382",237274
"1383",237275
"1384",237276
"1385",237277
"1386",237391
"1387",237392
"1388",237393
"1389",237394
"1390",237395
"1391",237396
"1392",237397
"1393",237398
"1394",237399
"1395",237400
"1396",237401
"1397",237402
"1398",237403
"1399",237404
"1400",237522
"1401",237523
"1402",237528
"1403",237529
"1404",237530
"1405",237531
"1406",237532
"1407",237651
"1408",251311
"1409",251312
"1410",251313
"1411",251314
"1412",251315
"1413",251316
"1414",251344
"1415",251437
"1416",251438
"1417",251439
"1418",251440
"1419",251441
"1420",251442
"1421",251443
"1422",251444
"1423",251445
"1424",251470
"1425",251471
"1426",251472
"1427",251473
"1428",251474
"1429",251475
"1430",251563
"1431",251564
"1432",251565
"1433",251566
"1434",251567
"1435",251568
"1436",251569
"1437",251570
"1438",251571
"1439",251572
"1440",251596
"1441",251597
"1442",251598
"1443",251599
"1444",251600
"1445",251601
"1446",251602
"1447",251603
"1448",251691
"1449",251692
"1450",251693
"1451",251694
"1452",251695
"1453",251696
"1454",251697
"1455",251698
"1456",251699
"1457",251700
"1458",251701
"1459",251702
"1460",251703
"1461",251724
"1462",251725
"1463",251726
"1464",251727
"1465",251728
"1466",251729
"1467",251730
"1468",251731
"1469",251818
"1470",251819
"1471",251820
"1472",251821
"1473",251822
"1474",251823
"1475",251824
"1476",251825
"1477",251826
"1478",251827
"1479",251828
"1480",251829
"1481",251830
"1482",251831
"1483",251832
"1484",251851
"1485",251852
"1486",251853
"1487",251854
"1488",251855
"1489",251856
"1490",251857
"1491",251858
"1492",251859
"1493",251945
"1494",251946
"1495",251947
"1496",251948
"1497",251949
"1498",251950
"1499",251951
"1500",251952
"1501",251953
"1502",251954
"1503",251955
"1504",251956
"1505",251957
"1506",251958
"1507",251959
"1508",251960
"1509",251979
"1510",251980
"1511",251981
"1512",251982
"1513",251983
"1514",251984
"1515",251985
"1516",251986
"1517",251987
"1518",251988
"1519",251989
"1520",251990
"1521",251991
"1522",252072
"1523",252073
"1524",252074
"1525",252075
"1526",252076
"1527",252077
"1528",252078
"1529",252079
"1530",252080
"1531",252081
"1532",252082
"1533",252083
"1534",252084
"1535",252085
"1536",252086
"1537",252087
"1538",252088
"1539",252106
"1540",252107
"1541",252108
"1542",252109
"1543",252110
"1544",252111
"1545",252112
"1546",252113
"1547",252114
"1548",252115
"1549",252116
"1550",252117
"1551",252118
"1552",252119
"1553",252120
"1554",252198
"1555",252199
"1556",252200
"1557",252201
"1558",252202
"1559",252203
"1560",252204
"1561",252205
"1562",252206
"1563",252207
"1564",252208
"1565",252209
"1566",252210
"1567",252211
"1568",252212
"1569",252213
"1570",252214
"1571",252215
"1572",252216
"1573",252233
"1574",252234
"1575",252235
"1576",252236
"1577",252237
"1578",252238
"1579",252239
"1580",252240
"1581",252241
"1582",252242
"1583",252243
"1584",252244
"1585",252245
"1586",252246
"1587",252247
"1588",252248
"1589",252249
"1590",252250
"1591",252251
"1592",252326
"1593",252327
"1594",252328
"1595",252329
"1596",252330
"1597",252331
"1598",252332
"1599",252333
"1600",252334
"1601",252335
"1602",252336
"1603",252337
"1604",252338
"1605",252339
"1606",252340
"1607",252341
"1608",252342
"1609",252343
"1610",252344
"1611",252345
"1612",252360
"1613",252361
"1614",252362
"1615",252363
"1616",252364
"1617",252365
"1618",252366
"1619",252367
"1620",252368
"1621",252369
"1622",252370
"1623",252371
"1624",252372
"1625",252373
"1626",252374
"1627",252375
"1628",252376
